zipcode18,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
02379,22007,Brockton,MA,227,Boston,MA
02381,22052,Plymouth,MA,227,Boston,MA
02382,22007,Brockton,MA,227,Boston,MA
02420,22072,Arlington,MA,227,Boston,MA
02421,22072,Arlington,MA,227,Boston,MA
02445,22006,Boston,MA,227,Boston,MA
02446,22006,Boston,MA,227,Boston,MA
02447,22006,Boston,MA,227,Boston,MA
02451,22062,Waltham,MA,227,Boston,MA
02452,22062,Waltham,MA,227,Boston,MA
02453,22062,Waltham,MA,227,Boston,MA
02454,22062,Waltham,MA,227,Boston,MA
02455,22062,Waltham,MA,227,Boston,MA
02456,22009,Cambridge,MA,227,Boston,MA
02457,22043,Newton,MA,227,Boston,MA
02458,22043,Newton,MA,227,Boston,MA
02459,22006,Boston,MA,227,Boston,MA
02460,22043,Newton,MA,227,Boston,MA
02461,22043,Newton,MA,227,Boston,MA
02462,22043,Newton,MA,227,Boston,MA
02464,22043,Newton,MA,227,Boston,MA
02465,22043,Newton,MA,227,Boston,MA
02466,22043,Newton,MA,227,Boston,MA
02467,22006,Boston,MA,227,Boston,MA
02468,22043,Newton,MA,227,Boston,MA
02471,22009,Cambridge,MA,227,Boston,MA
02472,22009,Cambridge,MA,227,Boston,MA
02474,22072,Arlington,MA,227,Boston,MA
02475,22072,Arlington,MA,227,Boston,MA
02476,22072,Arlington,MA,227,Boston,MA
02477,22009,Cambridge,MA,227,Boston,MA
02478,22009,Cambridge,MA,227,Boston,MA
02479,22009,Cambridge,MA,227,Boston,MA
02481,22043,Newton,MA,227,Boston,MA
02482,22043,Newton,MA,227,Boston,MA
02492,22040,Needham,MA,227,Boston,MA
02493,22062,Waltham,MA,227,Boston,MA
02494,22040,Needham,MA,227,Boston,MA
02495,22043,Newton,MA,227,Boston,MA
02532,22015,Falmouth,MA,227,Boston,MA
02534,22015,Falmouth,MA,227,Boston,MA
02535,22048,Oak Bluffs,MA,227,Boston,MA
02536,22015,Falmouth,MA,227,Boston,MA
02537,22015,Falmouth,MA,227,Boston,MA
02538,22064,Wareham,MA,227,Boston,MA
02539,22048,Oak Bluffs,MA,227,Boston,MA
02540,22015,Falmouth,MA,227,Boston,MA
02541,22015,Falmouth,MA,227,Boston,MA
02542,22015,Falmouth,MA,227,Boston,MA
02543,22015,Falmouth,MA,227,Boston,MA
02552,22048,Oak Bluffs,MA,227,Boston,MA
02553,22015,Falmouth,MA,227,Boston,MA
02554,22038,Nantucket,MA,227,Boston,MA
02556,22015,Falmouth,MA,227,Boston,MA
02557,22048,Oak Bluffs,MA,227,Boston,MA
02558,22064,Wareham,MA,227,Boston,MA
02559,22015,Falmouth,MA,227,Boston,MA
